Location    Name
uksouth     1touchio1627313187723
uksouth     Microsoft.Azure.Extensions.Test710a5fbf-06c7-46ac-b96d-a29d2586422f-20200108083639
uksouth     1672212957491
uksouth     townsend-security
uksouth     transientxinc
uksouth     nttltd
uksouth     conflux
uksouth     Microsoft.Azure.Monitor.Workloads.Dev
uksouth     ingenieurstudiohollaus1579587745438
uksouth     nets1664415757656
uksouth     semperis
uksouth     128technology
uksouth     catonetworks
uksouth     techlatest
uksouth     steelhive
uksouth     xcontentptyltd-1329748
uksouth     storone1594045543980
uksouth     pulse-secure
uksouth     iquest
uksouth     Microsoft.Azure.Extensions.Test3d499ca7-cc8d-41cc-a6dc-ffb1a4ac4942-20200107053004
uksouth     totemo
uksouth     Puppet
uksouth     exonar
uksouth     rtts
uksouth     johnsnowlabsinc1646051154808
uksouth     hashhub
uksouth     Microsoft.Azure.AzureDefenderForSQL
uksouth     noianetworklimited1584098036197
uksouth     globaldataanalyticsptyltdtatapeark1636285238780
uksouth     athinfosystems1641442221349
uksouth     hackershub
uksouth     wallix
uksouth     Microsoft.HpcCompute.Edp
uksouth     Microsoft.Azure.OpenSSH
uksouth     daceitdbasensetrafficpulse1579892024934
uksouth     telepat
uksouth     genymobile
uksouth     Microsoft.Azure.Extensions.Test2f4ebc17-e27e-48d9-9cc3-ff933c21884e-20200106092410
uksouth     Microsoft.Azure.Extensions.Test194e2333-13cd-43e3-b0a4-c8cdcf1a3600-20200110211106
uksouth     TrendMicro.DeepSecurity
uksouth     ahnlabinc1584495467593
uksouth     cirruslinksolutions1598993297919
uksouth     flashgrid-inc
uksouth     microsoft-dsvm
uksouth     asyscosoftwarebv
uksouth     Microsoft.Sentinel.AzureMonitorAgentExtensions
uksouth     thenielsencompany1584587184924
uksouth     hystaxinc
uksouth     OpenLogic
uksouth     pctestcpppub8
uksouth     threatmodelersoftwareinc1678908538740
uksouth     africamediaconsortiumllc1670411800267
uksouth     Microsoft.Azure.Extensions.Testadd68286-f9e0-4ab1-a526-d8f3cf0f054e-20200105084128
uksouth     libelleag
uksouth     tidalmediainc
uksouth     blackbird
uksouth     bryte
uksouth     Microsoft.Azure.Test.Identity
uksouth     Microsoft.Azure.Extensions.Test5e4efe90-916c-4c96-802c-1508a5b6da78-20191231151150
uksouth     Microsoft.Azure.HardwareHealthService
uksouth     iqsuite-marketplace
uksouth     enforongo
uksouth     Microsoft.Azure.Extensions.Test721fccf1-2b3e-44b6-908f-51b910e88b09-20200111104931
uksouth     jelastic
uksouth     chunghwatelecom1587573688842
uksouth     azuretesting
uksouth     hitachi-solutions
uksouth     Rapid7.InsightPlatform
uksouth     datastax
uksouth     vocallsincsro1689854055826
uksouth     looker
uksouth     unnisoft
uksouth     exasol
uksouth     drizti
uksouth     launchnodesltd1644561451121
uksouth     PuppetLabs.Test
uksouth     intigua
uksouth     ntegralinc1586961136942
uksouth     AzureRT.Test
uksouth     rackwareinc1619403669255
